Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Update
"[Regression,  clustering,  classification]",,GroupLens Research,,,,Text,,,,,~ 22M,,,,"22,000,000 ratings and 580,000 tags applied to 33,000 movies by 240,000 users.",MovieLens,,2016
"[Clustering,  regression]",,Yahoo!,,,,Text,,,,,~ 10M,,,,Over 10M ratings of artists by Yahoo users.,Yahoo! Music User Ratings of Musical Artists,,2004
[Classification],,M. Bohanec,,,,Text,,,,,1728,,,,Car properties and their overall acceptability.,Car Evaluation Data Set,,1997
[Classification],,Google,,,,Text,,,,,1138562,,,,User vote data for pairs of videos shown on YouTube. Users voted on funnier videos.,YouTube Comedy Slam Preference Dataset,,2012
"[Classification,  regression]",,Q. Nguyen,,,,Text,,,,,41396,,,,"User reviews of airlines, airports, seats, and lounges from Skytrax.",Skytrax User Reviews Dataset,,2015
[Classification],,W. Loh et al.,,,,Text,,,,,151,,,,Teaching assistant reviews.,Teaching Assistant Evaluation Dataset,,1997
"[Sentiment analysis,  topic extraction]",,"Dermouche, M. et al.",,,,XML  text,,,,,10421,,,,English news articles about the case relating to allegations of sexual assault against the former IMF director Dominique Strauss-Kahn.,NYSK Dataset,,2013
"[Classification,  clustering,  summarization]",,Reuters,,,,Text,,,,,810000,,,,Large corpus of Reuters news stories in English.,The Reuters Corpus Volume 1,,2002
"[Classification,  clustering,  summarization]",,Reuters,,,,Text,,,,,487000,,,,Large corpus of Reuters news stories in multiple languages.,The Reuters Corpus Volume 2,,2005
"[Classification,  clustering,  summarization]",,T. Rose et al.,,,,Text,,,,,1800370,,,,Large corpus of news stories.,Thomson Reuters Text Research Collection,,2009
"[Summarization,  clustering]",,M. Alhagri,,,,JSON,,,,,31030,,,,"31,030 Arabic newspaper articles.",Saudi Newspapers Corpus,,2015
"[Classification,  Entity and Relation recognition]",,Dstl,,,,JSON,,,,,not known,,,,Entity and Relation marked data from various news and government sources. Sponsored by Dstl,RE3D (Relationship and Entity Extraction Evaluation Dataset),,2017
"[Clustering,  Events,  Sentiment]",,R. Kulkarni,,,,CSV,,,,,1082477,,,,Entire news corpus of ABC Australia from 2003 to 2017,ABC Australia News Corpus,,2017
"[Clustering,  Events,  Sentiment]",,R. Kulkarni,,,,CSV,,,,,3089781,,,,"Clickbait, spam, crowd-sourced headlines from 2010 to 2015",Examiner Pseudo-News Corpus,,2017
"[Clustering,  Events,  Language Detection]",,R. Kulkarni,,,,CSV,,,,,1398431,,,,One week snapshot of all online headlines in 20+ languages,Worldwide News - Aggregate of 20K Feeds,,2017
"[NLP,  Computational Linguistics,  Events]",,R. Kulkarni,,,,CSV,,,,,6039000,,,,12 Years of timestamped events published on the news-wire,Reuters News Wire Headline Archive,,2018
"[Network analysis,  sentiment analysis]",,"Klimt, B. and Y. Yang",,,,Text,,,,,"~ 500,000",,,,Emails from employees at Enron organized into folders.,Enron Email Dataset,,2004 (2015)
